f  m
13 4
12 5
6 7
27 8
23 7
32 18
27 11
34 16
29 12
29 15
18 7
31 12
32 14
21 10
39 19
19 15
26 13
28 13
22 10
30 10
28 14
29 14
36 13
11 6
29 11
23 14
29 11
28 16
26 10
21 9
33 18
14 10
30 16
31 18
8 3
20 10
11 7
34 11
33 12
32 16
23 10
30 6
11 5
15 7
33 10
21 10
39 19
28 16
10 9
35 15
15 8
32 12
28 11
37 19
37 19
31 10
31 12
34 17
34 20
15 4
17 0
21 12
32 18
15 8
29 13
33 14
28 13
24 8
30 14
35 18
15 12
33 14
30 16
32 11
33 17
21 10
15 5
24 9
19 5
34 18
28 17
21 5
29 17
34 11
30 15
35 18
29 15
35 16
35 20
24 10
31 15
32 11
25 7
22 13
23 8
20 8
18 7
21 10
37 18
31 13
35 16
31 17
31 13
23 18
29 17
32 17
23 11
22 9
31 17
30 18
12 0
12 4
30 14
35 13
29 11
25 10
17 8
24 14
20 10
35 16
32 13
30 17
20 7
8 10
36 18
21 8
18 4
29 10
30 16
29 11
22 9
22 12
30 17
28 11
34 13
26 0
15 10
32 14
22 12
9 6
34 13
31 15
16 8
15 5
26 13
7 6
33 14
36 18
33 17
24 8
23 9
21 8
28 19
32 7
29 12
34 16
18 11
30 18
23 10
20 11
38 14
30 15
17 11
15 10
18 6
21 11
21 12
30 14
18 10
19 10
33 15
29 17
33 15
9 4
17 11
33 16
26 5
34 16
35 19
34 16
15 6
30 12
33 16
36 16
27 11
25 12
26 12
27 10
10 5
32 13
26 9
29 12
31 14
27 16
26 12
15 8
8 12
22 7
33 16
19 13
17 7
9 6
29 11
29 14
33 17
36 18
29 16
34 17
35 18
35 18
32 13
15 7
28 8
28 11
31 18
28 14
33 17
27 14
29 17
32 16
15 7
26 11
31 10
31 13
23 8
13 10
34 18
29 11
37 16
33 15
35 17
29 9
23 8
24 6
